,0
228,"A killer, cannibal rapist is killed by a crazed cop on the scene of his latest murder. At his grave a cult have gathered with plans to resurrect him by peeing onto the grave. This of course works and he awakes ripping the guys penis off and he is back into his old killing ways with an all new zombie look. The two cops one of who is going a little crazy about the scum of the city and has a drug problem, are back on the case. Two of the original cult member also tries to stop the killer by resurrecting some other kind of dead thing. Thinking they have filed they leave but out from the grave comes a plastic baby doll that was used in the original resurrection. Sounds a bit confusing really but no its just rubbish.<br /><br />The acting is terrible and one of the cops is the same guy that plays Dr Vincent van Gore in the faces of gore series and he is just as terrible as the annoying cop in this film. The other cop just about struggles to get his terrible lines out. Now I'm all for low budget cinema but this film is just terrible. If it wasn't for the very easy on the eye ladies and their nakedness I would probably have fallen asleep. There is a bit of gore but it's never more than some animal guts placed on the stomach of the victims. The zombie makeup on the other hand looks great and his foot long penis that he uses to rape his victims with is kind of funny at times. There is also a half decent scene where the killer falls in love with a sex doll. The doll with the chipmunks voice is the stupidest thing I have ever seen in a film. It is just a plastic toy on a fishing line.<br /><br />The ending is extremely bad. You would expect the killer to put up much more of a fight than he does. God knows how they made enough money to make a sequel. <br /><br />4/10"
229,"Days of Heaven is one of the most painfully boring and pointless films I have ever seen. In no way, shape, or form would I recommend it to anyone...unless you're trying to put your kids to sleep or, God forbid, give someone an aneurysm. If I could go back in time and do one thing, I would set fire to the reels before they were sent to theaters. Why? Days of Heaven's plot is simple, but extremely vague. Long sequences devoid of dialogue compose much of the film. The characters are too shallow and ridiculously stupid to relate with. The climax of the story does not touch you: by this time your brain has worked so hard to figure out the plot and the array of hidden metaphors that your ability to think is gone. The only things working are your eyes, and unfortunately, your ears, who must listen to the sound of Linda, the little girl in the story, who talks like a man. I am now dumber for seeing this movie. Don't let it happen to you."
230,"Yes, indeed, it could have been a good movie. A love biangle, (sorry for the poetical license, but is not a triangle!) an interesting story, unfortunately badly told. The image is sometimes weird, sometimes OK, the picture looks crowded and narrow-sighted. The sound needs more attention (it usually does in Romanian movies), the light and color filters are sometimes badly chosen. The soundtrack is short and is not helping the action. About the acting... sorry but the best actress is the landlady. The others are acting immaturely and cannot convince the viewer. The acting is poetical when it should be realistic, and realistic when it should be poetical. It's a picture for adults, told by the children. Bother only if extremely curious."
231,"This movie is lame and not funny at all. The plot doesn't even make sense. Some scientist who works on the fringes of science opens a doorway to another dimension (maybe hell???) and his daughter gets sucked through it or something, then one day for no apparent reason she comes back and now she has big breasts and wears a skimpy outfit (I guess the demons in the other dimension made it for her?) The main character is a guy who wants to marry his girlfriend but she is gay so obviously she's more interested in her new girlfriend, and they stumble upon this witch spell book (they want to be witches or something???) and the evil spell ends up getting read again which is how the evil demon comes to earth which only the bikini top girl and the spurned guy in love can stop apparently. There is topless scenes for no reason and a guy in it who my boyfriend says is a well known wrestler but his part is completely unnecessary, obviously they made something up just to put him in it because then maybe wrestling fans will actually watch this pointless movie. I'm sure the topless girls doesn't hurt there either. The extra features on the DVD were even more confusing than the rest of the movie, I thought it might help explain what was going on but it actually just made things more confusing. Who are these people and what are they doing? Basically this is a go-camping-to-make-out-then-fight-a-monster movie but there are a bunch of things (like the other dimension and book seller) than make it confusing. I didn't like the movie but it was only like five bucks so big deal. I don't recommend watching it though it was just too stupid, I can't think of any part of the movie that was good."
232,"Imagine this: a high school. Except it's boarding school, and the kids don't have parents around. Oh, and it's in Malibu. And the kids are all thin, white, and gorgeous, with the exceptional token minority or fat kid to play the ""weird"" outcast. And there aren't any reasonable rules, like how they have co-habitation, nuclear weapons in their dorms, coffee stands, a sushi bar, and a complimentary laptop per student.<br /><br />Here's the story: A girl, Zoey Brooks, attends PCA, a formerly all-boys school. Absolutely perfect in every possible way, she is smart, pretty, thin, athletic, creative, and everything a perfectionist wants to be. Almost all the boys in school want her, and every girl wants to be her friend. She's the one everyone comes to for advice, the one who saves the day with a simplistic plan, and is just wonderful. Too bad none of this makes her likable.<br /><br />Are we supposed to believe that if we don't even come close to Zoey's perfection, we're bad people? In the show, nothing's her fault, and if anyone contradicts her, they're portrayed as the bad guy(Logan). He may be a jerk, but at least he has some kind of brain that thinks for himself instead of simply agreeing with the princess every time.<br /><br />Her loyal group of blind followers are: Chase, the average dumb ass that has a secret crush on her, Michael, the token black guy (and the only decent actor on the set), Lola, a wannabe actress and anorexic, snobby airhead, Quinn, the smart but clueless girl when it comes to teen stuff, and Logan, the rich jerk who has a soft side. Yeah, this show basically spews out stereotypes.<br /><br />What ticks me off, though, is that they all try to pretend they're normal kids. They complain that Logan gets too much money while they have to work themselves, even though they already go to a too-good-to-be-true boarding school and have relatively nice things that many teenagers can't afford. They drink coffee and eat sushi on a regular basis, hardly have homework, and suntan almost every day. Wow, they have it hard! Any other problems? I'm too good-looking, rich, and stress-free! I guess Zoey 101 (what's the 101 for, anyway?) is Nick's attempt at trying to portray teens realistically. Except they caught a glimpse of reality, didn't like it, and decided to give the kids lives like the asses on The Hills.<br /><br />But hey, at least the set's pretty."
233,"I had been amazed by director Antal's Kontroll back in 2003. His first American project, Vacancy, was less impressive but a decent start. Armored is his second feature and while the visual signature is recognizable, the film never rises above the level of a B movie. <br /><br />It's a shame because the main premise has all the ingredients for twists and turns and the ensemble cast featuring many quality actors should be able to deliver. Antal could have made a great heist film but instead goes for an action flick. Then again he could have shot a cool action flick but it doesn't really deliver in that department either. <br /><br />What you are left with is one implausible situation after another, a group of poorly sketched characters bicker and fight over a sum of money. If you look past the sharp cinematography, cast and the tight music score, you're left with what could have been a below average direct-to-video featuring Van Damme or Seagal. <br /><br />This was probably the most disappointing movie for me in quite some time."
234,"First of all, the reason I'm giving this film 2 stars instead of 1 is because at least Peter Falk gave his usual fantastic performance as Lieutenant Columbo. He alone can get 10 stars for trying to save this otherwise utterly worthless attempt at making a movie.<br /><br />I was initially all fired up at reading one poster's comment that Andrew Stevens in this movie gave ""the performance of his career."" To me, it was the abysmal performance by Stevens that absolutely ruined this movie, and so I was all prepared to hurl all sorts of insults at the person who made the aforementioned comment. Then I thought to myself, what else has Stevens done? So I checked and, you know, that person was absolutely right. In the 17 years since this Columbo movie was made, apparently every one of the 33 projects that Stevens has been in since then has been utter crap, so it is doubtful that anybody has even seen the rest of his career.<br /><br />If you like Columbo, see every other of the 69 titles before watching this one. Do yourself a favor and save the worst for last."
235,"This movie must be in line for the most boring movie in years. Not even woody Harrison can save this movie from sinking to the bottom.<br /><br />The murder in this movie are supposed to be the point of interest in this movie but is not, nothing is of any interest. The cast are not to bad but the script are just plain awful , I just sat in utter amazement during this movie, thinking how on earth can anyone find this movie entertaining <br /><br />The producers of this movie were very clever. They made a boring movie but hid it well with the names of good actors and actresses on their cast. People will go to the blockbuster and probably see this movie and think, Woody Harrison ,Kristin Scott Thomas and Willem Dafoe this must be good and rent this movie.(boy are they in for a horrible time)<br /><br />If you like getting ripped off go and rent this movie, some people actually did enjoyed this movie but I like to watch a movie with meaning"
236,"Down at the Movie Gallery, I saw a flick I just had to see. It looked like a fun low-budget horror/action/western that I could get into. Yeah, I knew it would suck, but I rented it anyway hoping for laughs. Only a few laughs were to be found. This was an extremely stupid movie. It begins with a bounty hunter, our protagonist, who is possibly the weakest main character in the history of film. He looks/acts like he could take on Chuck Norris, but he can't. His dialogue sucks too. Anyway, he goes into a village, shoots some zombies. You could tell they tried to make this longer by putting in these boring scenes where he takes 3-5 minutes to reload or watch some zombies. At least the zombies look cool. So anyway, some people get shot, some zombies die, and in the end, everyone is dead except our main character, who should have died at the beginning when he was shot down by four people."
237,I thrive on cinema....but there is a limit. A NAME isn't enough to make A MOVIE!. The beginning of the movie puts us in a mood to expect the unseen yet. But we remain hungry ( or angry..) till the end . Things are getting so confused that I admit that I DID NOT UNDERSTAND THE END or was there an end to this nonesense. The opportunity to make an outstanding movie was there but the target was totally missed. Next...
238,"Michael Callan plays a smarmy photographer who seems, nonetheless, to be regarded as a perfect ""catch"" by any woman that runs across him; could this have anything to do with the fact that he also co-produced the film? He's a ""hero"" whom it's very difficult to empathize with, so the movie is in trouble right from the start. However, it's troubles don't end there. It has the production values of a TV-movie (check out that head made of clay or something, near the end), and the ending cheats in a way that I can't reveal, in case anyone wants to see the movie (highly unlikely). Let's just say that the killer knows more than we were let to know he knows. (*1/2)"
239,"I decided to watch this one because it's been nominated for Oscar this year. I guess as many folks here I really wanted to like this movie, but ended up bored and disappointed. First scene was OK but the whole rest of the movie in ""shaky hands"" camera mode is really annoying.<br /><br />i guess the main reason for making such a movie and nominating it for Oscar is this:<br /><br />American ""military machine"" (people, who makes money on war) urgently need an excuse or justification of war in Iraq by bungling up something (sort of) patriotic.<br /><br />why these ""heroic"" efforts of director and the main character to _inspire_ the audience with an idea of ""loving-war-like-a-drug""?.. Oh, please, come on! what a bore! <br /><br />watch this to get an idea of how low the movie academy can fall..."
240,"Oh, my goodness. I would have never thought it was possible for me to see a thriller worse than Domestic Disturbance this soon, but here it is. Armed with rotten plot, terrible editing, stilted acting, and headache-inducing 'style' (sorry, I have no other words for it), Sanctimony is the kind of movie that almost forces you to re-evaluate an entire genre; that is, this film is so bad that even the thrillers I condemned as complete failures now seem a little better.<br /><br />Now, not only Sanctimony is a terrible film in itself, it also succeeds in the difficult task of ripping off better movies and do a pathetic job with it. Right from the main titles -- nothing but a blatant attempt to reproduce the ones from Se7en -- I was under the impression that something didn't smell quite right. As soon as the movie started with a series of corny, wanna-be hip quick-cuts full of gory images and bombastic colors, I knew where that smell was coming from.<br /><br />It turns out that two policemen, or rather policeman Jim Renart (Michael Paré) and policewoman Dorothy Smith (Jennifer Rubin), are investigating on a murder spree in Vancouver. A serial killer, known as ""Monkey Killer"" (what a menacing, chilling nickname, uh?) for his working methods, has killed quite a lot of people. You see, this nut apparently works following the proverb ""see no evil, hear no evil, speak no evil"" and cuts eyes, ears, and tongues out of his victims. So far, six eyes, six ears, and three tongues. In very ingenious fashion, Renart and Smith figure out that the Monkey Killer is probably going to kill other three people... well, because he probably wants to complete the number 666. So suddenly the film focuses on Tom Gerrick (Casper Van Dien), a young, successful, good-looking businessman, with a dreadful temper. And that's where the rip-off of American Psycho kicks in.<br /><br />So we follow the life of the two police officers and the young psychopath, none of which is interesting in the least, until they finally meet. Along the way to that, a disco where Renart barely misses Gerrick unintentionally offers us one of the funniest scenes in recent memory: Renart goes in the back of the disco club, because... well, just because the script tells us it's a suspect place; then, with one single punch in the stomach, Renard gets rid of a big guard who blocks the path, and the guard is never heard of again? Does this scene strike anyone else as completely unrealistic?<br /><br />Anyway, after another murder, Gerrick turns in as a witness, but Smith and especially Renart immediately suspect he might be the killer. In typical Basic Instinct fashion, Smith gets some dates with the young businessman, under the assumption that she might discover his true identity.<br /><br />I won't spoil the ending but it is, quite simply, an embarrassment; there are contradictions, some plot holes, issues that never get resolved, and especially there is one last scene where a brutal mass murder, supposed to be shocking and sad, comes off as such laughably overdone and nonsensical that I frankly can't imagine how anyone could not laugh at it.<br /><br />At 87 minutes, Sanctimony is really pushing it. You never care about one single character, because they are all so flat (not to mention boring) that you know exactly who is who the first time you meet them. You are never pulled into the story, because the scenes are connected through weak plot devices when not downright unnecessary and out of place. The acting ranges from average (Van Dien) to downright atrocious (Rubin, and most of the supporting cast); the music is abysmal generic techno, and the photography is one of the worst I have ever seen. Of course, like every fiasco of the genre, we are provided with a little bit of gratuitous nudity.<br /><br />3/10"
241,"This film was basically set up for failure by the studio. One, Anne Rice (author of the book) offered to write the screen play but was refused by the studio. Two, they tried to stuff 2 in depth novels in to a 2hour movie.<br /><br />I maintain the only way for these two books -Vampire Lestat and Queen of the Damned- to work in a live action form would be through a mini-series. First off the the Vampire Lestat alone takes place from the 1700's to the 1980's and has a plethora of character vital to the plot understanding of the main character, Lestat. The entire book Vampire Lestat sets up the events of the second part Queen of the Damned. Without that full understanding the premise of a movie is destroyed.<br /><br />Lestat was not cruel and vicious to all, he was not wanting to go along with Akasha's plans, Marius did not make Lestat, Lestat did not love Jesse or make her, Lestat could not go remain unscathed by the light, Marius was not after David nor the other way around, every character was completely represented wrong, BASICALLY same names different story.<br /><br />If they wanted to make a vampire movie, fine. Even if you wanted to be inspired by these novels, fine. But don't piggie back into the theaters off the success of Rice's great novels and characters just to destroy what her loyal readers have come to love.<br /><br />If you haven't read the books you won't understand the film really, if you have read the books you will be insulted. That being said, I am such a huge fan I had to see the movie knowing full well this was going to be the case and still went for it. Catch 22, must see it, will hate it."
242,"Have previously enjoyed Wesley Snipes in several action flicks and I had expected a lot more, even from a score of 5.8 IMDb, the movie fails to entertain and even though the story is thin and unoriginal, the acting is most unfortunately thinner and goes to mimic a ""worst case scenario"" of playing ""strong"" feelings accompanied by some bad acting... Don't waist your time this movie ísnt entertaining, if you wanna cry it might suffice though, even though your tears will be wept due to seeing Wesley Snipes in the tragic action film wannabe comedy...<br /><br />I give this 2/10 it really was awful, if you wanna see a decent movie go see shooter or rent it, its all the good things this movie isn't."
243,"What a frustrating movie. A small Southern town is overflowing with possibilities for exploring the complexities of interpersonal relationships and dark underbellies hidden beneath placid surfaces, as anyone who has read anything by Carson McCullers already knows. This does none of that. Instead, the writers settled for cutesy twinkles, cheap warm fuzzies and banal melodrama. The thing looks like a made-for-TV movie, and was directed with no particular distinction, but it's hard to imagine what anyone could have done to make this material interesting.<br /><br />The most frustrating aspect, though, is the fact that there are a lot of extremely competent and appealing actors in this cast, all trying gamely to make the best of things and do what they can with this--well, there's no other word for it--drivel. A tragic waste of talent, in particular that of the great Stockard Channing."
244,"This movie starred a totally forgotten star from the 1930s, Jack Pearl (radio's ""Baron Munchausen"") as well as Jimmy Durante. However, 7-1/2 decades later, it's being billed as a Three Stooges film because they are the only ones in the film who the average person would recognize today. Film fanatics will also recognize the wonderful Edna May Oliver as well as Zazu Pitts.<br /><br />As for the Stooges, this is a film from there very early days--before MGM had any idea what to do with the team. At this point, they were known as ""Ted Healy and his Stooges"" as Healy was the front man. Fortunately for the Stooges, they soon left this nasty and rather untalented man (read up on him--you'll see what I mean) and the rest is history. Within a year, they were making very successful shorts for Columbia and executives at MGM were soon kicking themselves for losing the team. This sort of thing was a common occurrence at MGM, a great studio which had no idea what to do with comedy (such as the films of Buster Keaton, Laurel and Hardy, Abbott and Costello and others). In fact, up until they left for Columbia, MGM put them in a wide variety of odd film roles--including acting with Clark Gable and Joan Crawford in DANCING LADY. And, oddly, in this film they didn't act as a team--they just did various supporting roles, such as Larry playing the piano!<br /><br />This particular film begins with Pearl and Durante lost in the African jungle. When they are rescued and brought home, all sense of structure to the film falls apart and the film becomes almost like a variety show--punctuated by scenes with the leads here and there. As for Pearl, I could really see why he never made a successful transition to films, as he has the personality of a slug (but slightly less welcome). As for Durante, I never knew what the public saw in him--as least as far as his films are concerned--he was loud and...loud! He apparently took time off from helping MGM to ruin Buster Keaton's career to make this film. Together, Pearl and Durante rely on lots of verbal humor(?) and Vaudeville-style routines that tend to fall rather flat.<br /><br />In this film, the Stooges they didn't yet have the right chemistry. Seeing Healy doing the job that Moe did in their later films is odd. What they did in the film was pretty good, but because all the segments were short, they came on and off camera too quickly to allow them to really get into their routines. Stooges fans might be very frustrated at this, though die-hard fans may want to see this so that they can complete their life-long goal of seeing everything Stooge--even the rotten Joe DeRita and Joe Besser films (oh, and did they got bad after the deaths of Shemp and Curly).<br /><br />Overall, the film is rather dull and disappointing. However, there are a couple interesting things to look for in the mess. At about the 13 minute mark, you will see a brief scene where a tour guide on a bus is singing. Look carefully, as this is Walter Brennan in a role you'd certainly never expect! Another unusual thing to look for in the film is the ""Clean as a Whistle"" song starting at about 22 minutes into the film. This song and dance number is clearly an example of a so-called ""Pre-Code"" scene that never would have been allowed in films after 1934 (when the Production Code was strengthened). Despite the word ""Clean"" in the title, it's a very titillating number with naked women showing lots of flesh--enough to stimulate but not enough to really show anything! It's quite shocking when seen today, though such excesses were pretty common in the early 1930s. Finally, at the 63 minute mark, see Jimmy Durante set race relations back a few decades. See the film, you'll see that I mean!"
245,"When Carol (Vanessa Hidalgo) starts looking into her brother's death, she begins to suspect something more sinister than ""natural causes"". The closer she gets to the truth, the more of a threat she becomes to her sister-in-law, Fiona (Helga Line), and the rest of the local Satanists. They'll do whatever is necessary to put a stop her nosy ways.<br /><br />If you're into sleazy, Satanic-themed movies, Black Candles has a lot to offer. The movie is filled with plenty of nudity and ritualistic soft-core sex. One scene in particular involving a young woman and a goat must be seen to be believed. Unfortunately, all the sleaze in the world can't save Black Candles. Most of the movie is a total bore. Other than the one scene I've already mentioned, the numerous sex scenes aren't shocking and certainly aren't sexy. The acting is spotty at best. Even genre favorite Helga Line gives a disappointing performance. The plot really doesn't matter. Its main function seems to be to hold the string of dull sex scenes together. I'm only familiar with one other movie directed by Jose Ramon Larraz. Compared with his Daughters of Darkness that masterfully mixes eroticism and horror, Black Candles comes off as amateurish. 3/10 is about the best I can do."
246,"I had a hard time staying awake for the two hour opening episode. It was dumbed down to such an extent, I doubt if I learned a single thing. The graphics were rudimentary. Any small idea was repeated ad nauseum. Contrast this to the Cosmos series hosted by Carl Sagan. That had a good musical theme. There was NO music coming from these infernal 10-dimensional Strings."
247,"This movie was so badly written, directed and acted that it beggars belief. It should be remade with a better script, director and casting service. The worst problem is the acting. You have Jennifer Beals on the one hand who is polished, professional and totally believable, and on the other hand, Ri'chard, who is woefully miscast and just jarring in this particular piece. Peter Gallagher and Jenny Levine are just awful as the slave owning (and keeping) couple, although both normally do fine work. The actors (and director) should not have attempted to do accents at all--they are inconsistent and unbelievable. Much better to have concentrated on doing a good job in actual English. The casting is ludicrous. Why have children of an ""African"" merchant (thus less socially desirable to the gens de couleur society ) been cast with very pale skinned actors, while the supposedly socially desirable Marcel, has pronounced African features, including an obviously dyed blond ""fro""? It's as if the casting directors cannot be bothered to read the script they are casting and to chose appropriate actors from a large pool of extremely talented and physically diverse actors of color. It's just so weird! This could be a great movie and should be re-made, but with people who respect the material and can choose appropriate and skilled actors. There are plenty of good actors out there, and it would be fun to see how Jennifer Beals, Daniel Sunjata and Gloria Reuben would do with an appropriate cast, good script and decent direction."
248,"When I was a younger(oh about 2)I watched Barney for the first time, and liked it. BUT, back then I didn't exactly have a brain, either. And now I look back and see what a horrible show ""Barney"" really is: First of all, EVERYTHING on that show is creepy. Barney, the main character, is a horrendous 9-foot tall talking, purple dinosaur that teaches 13-year-olds about ""imagination....""(*shudders*) B.J.(I know what your thinking about his name.)Is a smaller yet creepier yellow dinosaur that is put in to be ""supposudly"" cool. But in fact, he is the exact opposite. After watching a few episodes with B.J. dumbly trudging in with his slightly turned back cap, and making a few no-so-funny jokes, I wanted to scream. Baby Bop-oh-oh-god!(*vomits*)oh-oh-OH-anyway Baby Bop is the worst idea of a character EVER. She is a green triceratops(it's a dinosaur) that carries a yellow blanket. Her remarks of ""hee-hee-hee"" and Barney's praises cries of 'super-deeee-doooper"", make it hard to sit through each episode, as the Seventh graders learn about shapes and manners.<br /><br />And that, my friend, is what makes this show truly horrible."
249,"Steve McQueen has certainly a lot of loyal fans out there. He certainly was a charismatic fellow, one of the most charismatic the big screen ever knew. But even McQueen can't save this turkey of a film, shot with what looks like a brownie camera in the actual locations in St. Louis.<br /><br />McQueen's a new kid with no criminal record brought into the planning of a bank heist by one of the other gang. There's more than a broad hint that there's a gay relationship going on between young Steve and David Clarke. He's not liked at all by the other heist members, mainly because of his lack of criminal resume. <br /><br />Steve also has a girl friend in Molly McCarthy and she suspects something afoot, especially when he starts hanging around with Crahan Denton and James Dukas as well as Clarke, all pretty rough characters. That would certainly get my suspicions aroused.<br /><br />The Great St. Louis Bank Robbery had two directors Charles Guggenheim and John Stix. Guggenheim did mostly documentaries and Stix didn't do much of anything. One of those two jokers decided Steve's performance was best served by doing a bad Marlon Brando imitation. <br /><br />This film may go down as the worst ever done by Steve McQueen. I'm willing to bet that Dick Powell and Four Star Productions had already signed him for Wanted Dead or Alive because I can't believe they would have if they saw this.<br /><br />Or they would have seen something the public would have overlooked except for the dressing for this turkey."
250,"This is a bad film, as its central message is very muddled and the plot seems like it was the result of merging several disparate scripts. As a result, it often makes absolutely no sense at all and certainly is not a film Miss Dunne or Mr. Huston should have been proud of making. However, the film IS worth watching if you are a fan of ""Pre-Code"" films because it features an amazingly sleazy plot that strongly says that nice girls DO put out--even if they aren't married and even if their partner IS!! <br /><br />The film begins with Miss Dunne as a social worker assisting troops heading to Europe for WWI. In the process, she meets a scalawag (Bruce Cabot) who eventually convinces her to sleep with him. She becomes pregnant and he then goes on to the next unsuspecting woman. However, Miss Dunne does NOT want him back, as she realizes he's not worth it, but later her baby dies at child birth. While all these very controversial plot elements are used, they are always alluded to--almost like they wanted the adults in the audience to know but hoped that if they phrase it or film it in just the right way, kids in the audience will be clueless (after all, films were not rated and kids might attend any film at this time).<br /><br />Surprisingly, this entire plot involving a stillborn baby and Cabot ends about 1/4 of the way through the film and is never mentioned again or alluded to. It was as if they filmed part of a movie and abandoned it--tacking it on to still another film. In this second phase of the film, Miss Dunne unexpectedly begins working at a women's prison (though we actually never really get to see her doing anything there). What we do see are countless horrible scenes of severe abuse and torture that were probably designed to titillate. And, as a result of all this violence, Miss Dunne goes on a crusade to clean up the prison and becomes a reformer and famous writer.<br /><br />But then, out of the blue, another type of film emerges and the women's prison reform business goes by the wayside. Dunne meets a judge (Walter Huston) who is married but he desperately wants her. Now throughout the film, Dunne is portrayed as a very good girl--even though she did have unmarried sex with Cabot (she was more or less tricked into it). But now, single Irene, who is a tireless reformer and good lady begins sleeping with a married man. He tells her that he and his wife are estranged and are married in name only, but she never thinks to investigate if this is true, and with his assurance, off flies her clothes and they are in the baby making business! BUT, while she's pregnant with his love child, he's indicted for being a crooked judge. He assures her he's innocent, but he's convicted and it sure sounds like he's a scoundrel--using inside information from people that have come before his bench in order to amass a fortune. Then, in the final moments of the film, Miss Dunne tries in vain to get him freed and vows to wait with the child until Huston is released. The film then ends.<br /><br />So, we basically have three separate films AND a bizarre early 30s idea of what a nice girl should be like. I gathered that she should be a strong-minded working girl who instantly becomes an idiot in her personal relationships! This really undoes all the positives about Dunne's character and it's really hard to imagine anyone liking the film. A strong women's rights advocate might easily be offended at how weak-minded and needy she was and religious people might see her as totally amoral or at least morally suspect! With a decent re-write, this could have been a good film or at least interesting as a lewd and salacious film, but it couldn't make up its mind WHAT it wanted to be and was just another dull Pre-Code film."
251,"This is quite possibly one of the worst movies ever made. Everything about it--acting, directing, script, cinematography--is dreadful. The alien (a human in sparkly suit) claims to be from a nearby universe; one assumes the scriptwriter meant ""galaxy"" but didn't bother to get a dictionary to check his terms. A better title for the film would be ""It Came From the Planet of Plot Contrivances."" The plot is excessively silly and nearly nonexistent. The humans are all given magical MacGuffins that conform to a tortuous series of unlikely restrictions just to move the bare plot. Any thought to the passage of time is ignored. Now it's a couple days after meeting the alien, then BAM! all of a sudden there's only a couple hours left until zero hour. Do yourself a favor and miss this movie. You will make yourself stupider for having watched it. The ending is particularly silly, and should have been accompanied by someone going ""Ta-Da!!!!"" as the scriptwriter just pulls something random out of his butt. I think the real alien plot is that this movie sucks so bad you'll get cancer watching it. If you can watch the last 10 minutes without crapping yourself (""enemies of freedom""--honestly) laughing, you're retarded."
252,"If you really really REALLY enjoy movies featuring ants building dirt-mirrors, eating non-ants, and conquering the world with a voice-over narrative, then this is the movie for you. Basically, a couple of scientists working out of a bio-dome communicate with highly intelligent ants (the most intelligent actors in this film) in an attempt to try to thwart their plans of conquest and extermination. Throughout the movie the two scientists (and a girl they rescued from the ants) use everything at their disposal (computers, green dye, and horrid acting), but to no avail. I guess they just couldn't afford any pesticides because the movie would be over too quickly.<br /><br />The title of the movie ""Phase IV"" is something of a mystery. This is not a spoiler, but ""Phase I"" starts right after the opening credits whereas you don't reach ""Phase IV"" until the end credits roll. Apparently the director knew the movie would be tedious to get through and so placed Phases 1 - 3 throughout the movie as a kind of progress report: ""Hang in there buddy! Only 1 more phase until final credits!"" As a MST3K episode, this one wasn't very good for two reasons: 1) This one is from the Season 0 on KTMA when they were first starting out so the riffing is not as good as in later seasons; and 2) This movie is so bad not even J&TB can lighten it up. There are one or two Gamera references as they had just finished riffing 5 Gamera movies.<br /><br />The movie does have a trick/surprise ending, but I was so glad to reach the end the effect was lost on me."
253,"From director Barbet Schroder (Reversal of Fortune), I think I saw a bit of this in my Media Studies class, and I recognised the leading actress, so I tried it, despite the rating by the critics. Basically cool kid Richard Haywood (Half Nelson's Ryan Gosling) and Justin Pendleton (Bully's Michael Pitt) team up to murder a random girl to challenge themselves and see if they can get away with it without the police finding them. Investigating the murder is homicide detective Cassie 'The Hyena' Mayweather (Sandra Bullock) with new partner Sam Kennedy (Ben Chaplin), who are pretty baffled by the evidence found on the scene, e.g. non-relating hairs. The plan doesn't seem to be completely going well because Cassie and Sam do quite quickly have Richard or Justin as suspects, it is just a question of if they can sway them away. Also starring Agnes Bruckner as Lisa Mills, Chris Penn as Ray Feathers, R.D. Call as Captain Rod Cody and Tom Verica as Asst. D.A. Al Swanson. I can see now the same concept as Sir Alfred Hitchcock's Rope with the murdering for a challenge thing, but this film does it in a very silly way, and not even a reasonably good Bullock can save it from being dull and predictable. Adequate!"
254,"Weak,stale, tired, cliched; wants to be Basic Instinct, but misses opportunity after opportunity for fresh perspectives, new insights. Insipid, trite, grotesque, and without the possibly-redeeming value of brevity; oh, wait...it was only 90 minutes long...it must have just *seemed* a lot longer! I'd rather clean bus station toilets with my toothbrush than have to sit through this again. I'm expressing an opinion here: I guess this means I didn't like it."
255,"this film is quite simply one of the worst films ever made and is a damning indictment on not only the British film industry but the talentless hacks at work today. Not only did the film get mainstream distribution it also features a good cast of British actors, so what went wrong? i don't know and simply i don't care enough to engage with the debate because the film was so terrible it deserves no thought at all. be warned and stay the hell away from this rubbish. but apparently i need to write ten lines of text in this review so i might as well detail the plot. A nob of a man is setup by his evil friend and co-worker out of his father's company and thus leads to an encounter with the Russian mafia and dodgy accents and stupid, very stupid plot twists/devices. i should have asked for my money back but was perhaps still in shock from the experience. if you want a good crime film watch the usual suspects or the godfather, what about lock, stock.... thats the peak of the contemporary British crime film....."
256,"I'll not comment a lot, what's to??? Stereotype characters, absolute ignorance about Colombia's reality, awful mise en scene, poor color choice, NOT funny (it supposed to be a comedy and they expect that you will laugh because some distend music it's beside the nonsense scenes), Very poor actors direction (if you see somewhere those people, I mean the interpreters, you'll know they are at least good, but seeing this so call film, it is impossible to guess it), you get tired of the music... this ""comedy"" has no rhythm, the only good rhythm in it, it's the rap sing in the final credits....pathetic, doesn't it? etc...etc... It has been a long time I haven't seen a movie so bad!!"
257,"It's rare that I feel a need to write a review on this site, but this film is very deserving because of how poorly it was created, and how bias its product was.<br /><br />I felt a distinct attempt on the part of the film-makers to display the Palestinian family as boorish and untrustworthy. We hear them discuss the sadness that they feel from oppression, yet the film is shot and arranged in a way that we feel the politically oppressed population is the Jewish Israeli population. We see no evidence that parallels the position of the Palestinian teenager. We only hear from other Palestinians in prison. I understand restrictions are in place, but the political nature of the restrictions are designed to prevent peace.<br /><br />I came out of the film feeling that the mother of the victim was selfish in her mourning and completely closed minded due to her side of the fence, so to speak. She continued to be unwilling to see the hurt of the bomber's parents, and her angry and closed-minded words caused the final meeting to spiral out of control. It is more realistic, in my mind, to see the Israeli mindset to be a root of the problem; ignored pleas for understanding and freedom, ignored requests for acknowledgment for the process by which the Jewish population acquired the land.<br /><br />I have given this a two because of these selfish weaknesses of the mother, which normally would be admirable in a documentary, however in the light of the lack of impartiality, it all seems exploitative. Also for the poor edits, lack of background in the actual instance, and finally the lack of proper representation of the Palestinian side. Ultimately, it is a poor documentary and a poor film. I acknowledge this is partially the result of the political situation, but am obliged to note the flaws in direction regardless of the heart-wrenching and sad subject matter."
